id	filename	md5	size	state
08679df7-caa7-43e8-9293-d8ca87090ddf	TCGA-J4-A67K-01Z-00-DX1.96803F13-A6D1-4607-A7B9-772BC9A3A831.svs	f8f589623962571b661f73b3805c5b57	2416867470	validated
0992e85c-2906-4be7-9df7-09e7f64d5149	TCGA-YL-A8SB-01Z-00-DX1.6E3A9961-7A7E-456F-B703-4920FCC79425.svs	005eb0e576529f50437b1845599404cb	2969064400	validated
0a5ac495-6b06-43bd-8a1b-7b9487bffb2d	TCGA-V1-A8MU-01Z-00-DX1.2C9CED13-5C2C-4FFB-AB0B-3904BAA4FEFF.svs	a13e959a5a1a4165c03b708ec75e3f67	864714371	validated
0aad766d-faf4-4216-add2-8f7a5c3d637c	TCGA-G9-6496-01Z-00-DX1.c883d773-50ce-4fa7-a96c-1faf0500da28.svs	8c6798a2a4283fd31910d99452d40af1	560365903	validated
0ae8af77-2d29-4df7-9f4f-11af04d3e761	TCGA-KK-A59Y-01Z-00-DX1.0DB9AF4D-4879-4295-A321-CBEE0FE6B2A0.svs	963a4d02ab21dbd89a32ea0f3bed4286	489267233	validated
0deebcb1-1c23-4951-b61c-9b529021627f	TCGA-V1-A9O5-01Z-00-DX1.60716099-2E50-4D15-B9B4-A34F5B6BE3CC.svs	2abecde6180728f240373eb66ae1d5ec	1326885553	validated
0efbba42-a7e7-47c6-a076-2c24248a73f8	TCGA-QU-A6IN-01Z-00-DX1.B6E9CA11-BDB2-4F7F-B900-DFE8A4531138.svs	b23661c4e849369315833a1b169897d0	1149478599	validated
0f3325e1-51ec-40bf-b63a-9ab8495e749f	TCGA-HC-A9TE-01Z-00-DX1.E8C2DC19-216F-49C0-A52B-BBB70678D0B8.svs	55416070c8ce08252123861aaccbc26a	67252526	validated
0f4664e2-eaf0-434d-910c-7ff644239aac	TCGA-G9-6494-01Z-00-DX1.023d173a-85dc-4814-9c1e-449f491eb444.svs	36c65a29c618e0a957d0a756909a3707	956755031	validated
11e0a5c8-5d93-40cb-ab56-54ff263076ee	TCGA-EJ-5504-01Z-00-DX1.38c7a032-886e-445a-ad0b-aa531918cc2e.svs	7ef0c21cecabb935bfeff0bae25ebdd3	415390737	validated
12c666a7-7729-4cbc-913f-f2c2798b774d	TCGA-KK-A6DY-01Z-00-DX1.A58E02B6-F093-43EE-B06C-975C4171E8A1.svs	c7b40cd1f48da113c3e91d44a9de2a36	613797519	validated
1323d481-b381-452f-9dbf-a44707eecd41	TCGA-EJ-7789-01Z-00-DX1.1fe607cd-e166-4c16-8fc0-74bcca9b5975.svs	919154a556dc3228dbbc0fc61019ba8d	813035411	validated
13f53278-563b-4089-8c7c-ee57a62b9d90	TCGA-HI-7169-01Z-00-DX1.ac873262-34a1-4a47-8178-6a2a279c02e5.svs	d8c81910f6f4220682e09b9e73a8a4b4	174271809	validated
151ffc94-ca5a-4d36-a3f3-198795c8426b	TCGA-VP-A87E-01Z-00-DX1.E01A7C2F-087F-4AFB-9A8C-3092EC841423.svs	9e5ca99ab58d7f26f9a68ad4e6c0acca	1289823720	validated
16135829-8690-470a-a16b-0cf227df98c6	TCGA-QU-A6IL-01Z-00-DX1.675EB89C-5DBA-4C92-9330-2C1715633964.svs	cdefafc62b7092f8e2e1912828ecd033	1743800051	validated
16a3516b-b55f-458f-871b-5d5969d1a56e	TCGA-V1-A9Z7-01Z-00-DX1.25193852-0015-4D15-A0EB-50DAA2F83686.svs	cf22b40044233fbff4c6118264f275e4	1439026963	validated
170ca583-66f8-4f78-aa04-7b1160cb624e	TCGA-G9-7521-01Z-00-DX1.6b2a4c47-db98-44fe-b5f8-c96ec398f37a.svs	2f9875bdb8a163793046da23e08deca4	463331217	validated
173291f7-6583-4313-8e17-95a3dfe3b2a7	TCGA-HC-8262-01Z-00-DX1.bbe104bc-1d6f-4c3d-80dc-99aef05dc9c4.svs	e8a02bdabf418b3bbeebf14331be7121	70811651	validated
17891c80-ce61-47df-b00b-3119b05ff965	TCGA-YL-A8SP-01Z-00-DX1.4F1DBA34-DA6D-4DBA-B765-6720A6DDAA21.svs	53e4a94577caae11ead836a682a0df3e	2541970234	validated
181bfaf7-c8f5-4613-98b9-69639a9e238e	TCGA-KK-A7B3-01Z-00-DX1.2525F4D7-C3A5-4469-9D5E-F33532A3BA21.svs	b66640710fea7303c2d0cb7aa2faaff6	580944907	validated
182ef3c0-ac00-41b1-8015-53fe782efb72	TCGA-J4-A67T-01Z-00-DX1.CF24F5B1-8583-4DEB-BDE8-45786116488E.svs	c48a375d194870d27c175ffac26d3519	1404191184	validated
