ensemble_id,cluster_id
ENSG00000182087,17
ENSG00000163126,23
ENSG00000130723,0
ENSG00000163393,34
ENSG00000256537,1
ENSG00000177963,18
ENSG00000263002,12
ENSG00000140678,11
ENSG00000139200,6
ENSG00000181619,35
ENSG00000100220,26
ENSG00000110917,40
ENSG00000090659,44
ENSG00000091436,31
ENSG00000141161,22
ENSG00000114544,37
ENSG00000176435,8
ENSG00000138029,14
ENSG00000164241,38
ENSG00000132718,5
ENSG00000106397,43
ENSG00000049167,3
ENSG00000172116,11
ENSG00000083814,22
ENSG00000166845,19
ENSG00000136014,13
ENSG00000147654,3
ENSG00000136244,48
ENSG00000198771,5
ENSG00000084710,30
ENSG00000144596,8
ENSG00000158246,6
ENSG00000131269,10
ENSG00000126091,17
ENSG00000168040,18
ENSG00000006704,22
ENSG00000168264,49
ENSG00000167699,22
ENSG00000185379,15
ENSG00000169964,30
ENSG00000129450,44
ENSG00000135374,27
ENSG00000006047,6
ENSG00000172137,5
ENSG00000011422,44
ENSG00000153046,1
ENSG00000162241,23
ENSG00000170854,10
ENSG00000125851,35
ENSG00000077092,28
ENSG00000138035,35
ENSG00000167565,12
ENSG00000139197,30
ENSG00000150051,31
ENSG00000205089,13
ENSG00000154118,4
ENSG00000147383,26
ENSG00000198001,43
ENSG00000102524,11
ENSG00000151612,0
ENSG00000019186,13
ENSG00000150961,10
ENSG00000175535,4
ENSG00000165533,9
ENSG00000188488,31
ENSG00000090104,11
ENSG00000060656,4
ENSG00000162407,5
ENSG00000175229,6
ENSG00000127526,10
ENSG00000134186,12
ENSG00000146592,47
ENSG00000162910,17
ENSG00000179933,1
ENSG00000163832,1
ENSG00000155729,0
ENSG00000196235,18
ENSG00000165684,7
ENSG00000116641,0
ENSG00000160870,35
ENSG00000172775,33
ENSG00000182149,33
ENSG00000001167,33
ENSG00000120832,23
ENSG00000168350,34
ENSG00000134470,47
ENSG00000197892,42
ENSG00000196313,10
ENSG00000127463,3
ENSG00000196511,43
ENSG00000130770,1
ENSG00000204922,17
ENSG00000019505,15
ENSG00000122958,0
ENSG00000182853,0
ENSG00000110497,10
ENSG00000112079,5
